"","airlineId","year","month","type","NormalizedDelay","count"
"70350",19393,1992,5,0,3.9998624,29091
"70351",19393,1992,6,0,3.99987,30786
"70352",19393,1992,7,0,3.9998765,32408
"70353",19393,1992,8,0,3.999876,32267
"70354",19393,1992,9,0,3.9998722,31330
"70355",19393,1993,1,0,3.9998705,30895
"70356",19393,1993,10,0,3.9998934,37498
"70357",19393,1993,11,0,3.9998856,34965
"70358",19393,1993,12,0,3.999888,35723
"70359",19393,1993,2,0,3.999863,29172
"70360",19393,1993,3,0,3.999882,33864
"70361",19393,1993,4,0,3.999881,33626
"70362",19393,1993,5,0,3.999885,34829
"70363",19393,1993,6,0,3.9998853,34892
"70364",19393,1993,7,0,3.999889,35998
"70365",19393,1993,8,0,3.9998922,37130
"70366",19393,1993,9,0,3.9998903,36456
"70367",19393,1994,1,0,3.9998908,36595
"70368",19393,1994,10,0,3.999913,46023
"70369",19393,1994,11,0,3.9999082,43622
"70370",19393,1994,12,0,3.999911,44993
"70371",19393,1994,2,0,3.9998815,33786
"70372",19393,1994,3,0,3.999896,38445
"70373",19393,1994,4,0,3.9998932,37438
"70374",19393,1994,5,0,3.999898,39181
"70375",19393,1994,6,0,3.9998972,38898
"70376",19393,1994,7,0,3.9999034,41415
"70377",19393,1994,8,0,3.9999046,41962
"70378",19393,1994,9,0,3.9999044,41875
"70379",19393,1995,1,0,3.9999163,47774
"70380",19393,1995,10,0,3.9999247,53128
"70381",19393,1995,11,0,3.9999204,50220
"70382",19393,1995,12,0,3.999922,51258
"70383",19393,1995,2,0,3.9999092,44032
"70384",19393,1995,3,0,3.9999192,49536
"70385",19393,1995,4,0,3.9999163,47796
"70386",19393,1995,5,0,3.9999208,50508
"70387",19393,1995,6,0,3.9999192,49516
"70388",19393,1995,7,0,3.9999201,50121
"70389",19393,1995,8,0,3.9999228,51788
"70390",19393,1995,9,0,3.9999194,49707
"70391",19393,1996,1,0,3.999923,52022
"70392",19393,1996,10,0,3.99993,57110
"70393",19393,1996,11,0,3.999926,54046
"70394",19393,1996,12,0,3.9999282,55815
"70395",19393,1996,2,0,3.99992,49961
"70396",19393,1996,3,0,3.9999256,53833
"70397",19393,1996,4,0,3.9999259,53945
"70398",19393,1996,5,0,3.9999287,56124
"70399",19393,1996,6,0,3.9999273,55094
"70400",19393,1996,7,0,3.9999294,56737
"70401",19393,1996,8,0,3.9999309,57792
"70402",19393,1996,9,0,3.9999273,54986
"70403",19393,1997,1,0,3.9999297,56835
"70404",19393,1997,10,0,3.999934,60608
"70405",19393,1997,11,0,3.9999294,56615
"70406",19393,1997,12,0,3.999931,58040
"70407",19393,1997,2,0,3.9999242,52731
"70408",19393,1997,3,0,3.9999313,58326
"70409",19393,1997,4,0,3.9999301,57308
